Bike Wash - Dissolver,Accessories,Cleaners,3,908,7272,8,909,875,12,High-Performer,142,8,606
Short-Sleeve Classic Jersey- L,Clothing,Jerseys,42,374,20196,54,374,372,13,High-Performer,142,54,1553
Touring Tire Tube,Accessories,Tires and Tubes,2,1488,7440,5,1488,1411,13,High-Performer,142,5,572
Touring-1000 Blue- 50,Bikes,Touring Bikes,1482,150,357600,2384,150,150,12,High-Performer,143,2384,29800
Mountain-200 Black- 46,Bikes,Mountain Bikes,1252,620,1373454,2215.2,620,600,24,High-Performer,143,2215,57227
Touring-3000 Blue- 50,Bikes,Touring Bikes,461,48,35616,742,48,48,11,High-Performer,143,742,3237
Half-Finger Gloves- M,Clothing,Gloves,9,499,11976,24,499,488,13,High-Performer,142,24,921
Short-Sleeve Classic Jersey- S,Clothing,Jerseys,42,406,21924,54,406,402,13,High-Performer,142,54,1686
Mountain-400-W Silver- 38,Bikes,Mountain Bikes,420,148,113812,769,148,148,11,High-Performer,143,769,10346
Road-250 Black- 48,Bikes,Road Bikes,1555,298,691213,2319.5,298,289,23,High-Performer,143,2319,30052
Road-350-W Yellow- 40,Bikes,Road Bikes,1083,246,418446,1701,246,246,12,High-Performer,143,1701,34870
Road-650 Red- 52,Bikes,Road Bikes,487,61,46083,755.5,61,61,24,High-Performer,155,755,1920
Touring-1000 Blue- 54,Bikes,Touring Bikes,1482,160,381440,2384,160,160,11,High-Performer,143,2384,34676
Road-650 Black- 58,Bikes,Road Bikes,487,76,57996,763.1,76,76,23,High-Performer,155,763,2521
Road-150 Red- 44,Bikes,Road Bikes,2171,281,1005418,3578,281,281,12,High-Performer,167,3578,83784
Road-650 Black- 52,Bikes,Road Bikes,487,89,66915,751.9,89,89,23,High-Performer,155,751,2909
HL Mountain Tire,Accessories,Tires and Tubes,13,1396,48895,35,1397,1396,13,High-Performer,142,35,3761
Classic Vest- S,Clothing,Vests,24,168,10944,64,171,168,13,High-Performer,142,65,841
Mountain-100 Silver- 44,Bikes,Mountain Bikes,1912,49,166600,3400,49,49,12,High-Performer,167,3400,13883
Touring-2000 Blue- 54,Bikes,Touring Bikes,755,88,106920,1215,88,88,11,High-Performer,143,1215,9720
Mountain-500 Black- 42,Bikes,Mountain Bikes,295,49,26460,540,49,49,11,High-Performer,143,540,2405
Short-Sleeve Classic Jersey- XL,Clothing,Jerseys,42,409,22086,54,409,405,12,High-Performer,142,54,1840
Road-650 Red- 58,Bikes,Road Bikes,487,74,56346,761.4,74,74,22,High-Performer,155,761,2561
Road Tire Tube,Accessories,Tires and Tubes,1,2376,9504,4,2376,2226,13,High-Performer,142,4,731
Mountain-100 Black- 38,Bikes,Mountain Bikes,1898,49,165375,3375,49,49,11,High-Performer,167,3375,15034
Half-Finger Gloves- S,Clothing,Gloves,9,488,11712,24,488,479,13,High-Performer,142,24,900
Mountain-500 Black- 52,Bikes,Mountain Bikes,295,41,22140,540,41,41,11,High-Performer,143,540,2012
Classic Vest- L,Clothing,Vests,24,195,12480,64,195,195,12,High-Performer,142,64,1040
Road-250 Red- 48,Bikes,Road Bikes,1519,162,395766,2443,162,162,12,High-Performer,155,2443,32980
Touring-3000 Blue- 54,Bikes,Touring Bikes,461,55,40810,742,55,55,12,High-Performer,143,742,3400
Touring-1000 Yellow- 46,Bikes,Touring Bikes,1482,172,410048,2384,172,170,11,High-Performer,143,2384,37277
Touring-3000 Yellow- 58,Bikes,Touring Bikes,461,47,34874,742,47,47,12,High-Performer,143,742,2906
Mountain-500 Silver- 42,Bikes,Mountain Bikes,308,45,25425,565,45,45,11,High-Performer,143,565,2311
Road-750 Black- 58,Bikes,Road Bikes,344,334,180360,540,334,334,12,High-Performer,143,540,15030
Women's Mountain Shorts- L,Clothing,Shorts,26,363,25410,70,363,363,12,High-Performer,142,70,2117
Touring-2000 Blue- 50,Bikes,Touring Bikes,755,106,128790,1215,106,106,12,High-Performer,143,1215,10732
Road-650 Black- 44,Bikes,Road Bikes,487,63,47565,755,63,63,23,High-Performer,155,755,2068
Sport-100 Helmet- Black,Accessories,Helmets,13,2085,72975,35,2085,2024,13,High-Performer,142,35,5613
Mountain-400-W Silver- 42,Bikes,Mountain Bikes,420,129,99201,769,129,129,11,High-Performer,143,769,9018
Touring-3000 Yellow- 54,Bikes,Touring Bikes,461,48,35616,742,48,48,11,High-Performer,143,742,3237
Road-550-W Yellow- 42,Bikes,Road Bikes,713,306,334440,1092.9,306,303,24,High-Performer,143,1092,13935
Road-650 Red- 62,Bikes,Road Bikes,487,75,57381,765.1,75,75,23,High-Performer,155,765,2494
Women's Mountain Shorts- M,Clothing,Shorts,26,352,24640,70,352,352,12,High-Performer,142,70,2053
LL Mountain Tire,Accessories,Tires and Tubes,9,862,21600,25,864,830,12,High-Performer,142,25,1800
Touring-3000 Blue- 62,Bikes,Touring Bikes,461,64,47488,742,64,64,11,High-Performer,143,742,4317
Mountain-100 Silver- 42,Bikes,Mountain Bikes,1912,42,142800,3400,42,42,11,High-Performer,167,3400,12981
Road-150 Red- 52,Bikes,Road Bikes,2171,302,1080556,3578,302,302,12,High-Performer,167,3578,90046
Touring-3000 Yellow- 44,Bikes,Touring Bikes,461,59,43778,742,59,59,11,High-Performer,143,742,3979
Road Bottle Cage,Accessories,Bottles and Cages,3,1712,15408,9,1712,1700,13,High-Performer,142,9,1185
Sport-100 Helmet- Red,Accessories,Helmets,13,2230,78050,35,2230,2147,13,High-Performer,142,35,6003
Road-150 Red- 48,Bikes,Road Bikes,2171,337,1205786,3578,337,337,12,High-Performer,167,3578,100482
Road-550-W Yellow- 38,Bikes,Road Bikes,713,270,293760,1088,270,267,24,High-Performer,143,1088,12240
Touring-1000 Yellow- 60,Bikes,Touring Bikes,1482,140,333760,2384,140,140,11,High-Performer,143,2384,30341
Mountain-200 Black- 38,Bikes,Mountain Bikes,1252,582,1294854,2224.8,582,565,24,High-Performer,143,2224,53952
Road-250 Black- 58,Bikes,Road Bikes,1555,270,622026,2303.8,270,265,24,High-Performer,143,2303,25917
Road-650 Red- 60,Bikes,Road Bikes,487,53,40071,756.1,53,53,23,High-Performer,155,756,1742
Mountain-400-W Silver- 46,Bikes,Mountain Bikes,420,138,106122,769,138,138,11,High-Performer,143,769,9647
ML Road Tire,Accessories,Tires and Tubes,9,926,23150,25,926,891,13,High-Performer,142,25,1780
Touring-1000 Blue- 60,Bikes,Touring Bikes,1482,147,350448,2384,147,147,12,High-Performer,143,2384,29204
Touring-1000 Blue- 46,Bikes,Touring Bikes,1482,177,421968,2384,177,177,12,High-Performer,143,2384,35164
Road-650 Black- 60,Bikes,Road Bikes,487,76,57156,752.1,76,76,22,High-Performer,155,752,2598
Touring Tire,Accessories,Tires and Tubes,11,935,27115,29,935,920,13,High-Performer,142,29,2085
Racing Socks- M,Clothing,Socks,3,298,2682,9,298,295,12,Low-Performer,142,9,223
Water Bottle - 30 oz.,Accessories,Bottles and Cages,2,4244,21245,5,4249,4073,13,High-Performer,142,5,1634
Road-250 Red- 44,Bikes,Road Bikes,1519,144,351792,2443,144,144,12,High-Performer,155,2443,29316
Hydration Pack - 70 oz.,Accessories,Hydration Packs,21,733,40315,55,733,719,13,High-Performer,142,55,3101
Half-Finger Gloves- L,Clothing,Gloves,9,443,10632,24,443,437,13,High-Performer,142,24,817
Road-250 Black- 44,Bikes,Road Bikes,1555,271,628384,2318.8,271,266,24,High-Performer,143,2318,26182
Road-750 Black- 52,Bikes,Road Bikes,344,386,208440,540,386,386,12,High-Performer,143,540,17370
Long-Sleeve Logo Jersey- S,Clothing,Jerseys,38,429,21450,50,429,426,12,High-Performer,142,50,1787
Sport-100 Helmet- Blue,Accessories,Helmets,13,2125,74410,35,2126,2050,13,High-Performer,142,35,5723
Touring-2000 Blue- 46,Bikes,Touring Bikes,755,97,117855,1215,97,97,12,High-Performer,143,1215,9821
Road-550-W Yellow- 40,Bikes,Road Bikes,713,266,289880,1089.8,266,264,23,High-Performer,143,1089,12603
Classic Vest- M,Clothing,Vests,24,199,12736,64,199,199,12,High-Performer,142,64,1061
Mountain-500 Black- 40,Bikes,Mountain Bikes,295,48,25920,540,48,48,12,High-Performer,143,540,2160
Road-150 Red- 56,Bikes,Road Bikes,2171,295,1055510,3578,295,295,12,High-Performer,167,3578,87959
Road-650 Red- 48,Bikes,Road Bikes,487,88,66720,758.2,88,88,23,High-Performer,155,758,2900
All-Purpose Bike Stand,Accessories,Bike Stands,59,249,39591,159,249,243,13,High-Performer,142,159,3045
Touring-3000 Yellow- 62,Bikes,Touring Bikes,461,50,37100,742,50,50,11,High-Performer,143,742,3372
Mountain-500 Black- 48,Bikes,Mountain Bikes,295,56,30240,540,56,56,11,High-Performer,143,540,2749
Road-150 Red- 62,Bikes,Road Bikes,2171,336,1202208,3578,336,336,12,High-Performer,167,3578,100184
Mountain-400-W Silver- 40,Bikes,Mountain Bikes,420,128,98432,769,128,128,12,High-Performer,143,769,8202
Mountain-100 Black- 42,Bikes,Mountain Bikes,1898,45,151875,3375,45,45,11,High-Performer,167,3375,13806
Mountain-500 Silver- 44,Bikes,Mountain Bikes,308,39,22035,565,39,39,12,High-Performer,143,565,1836
Road-350-W Yellow- 42,Bikes,Road Bikes,1083,235,399735,1701,235,235,12,High-Performer,143,1701,33311
Mountain-100 Black- 48,Bikes,Mountain Bikes,1898,57,192375,3375,57,57,12,High-Performer,167,3375,16031
Mountain Tire Tube,Accessories,Tires and Tubes,2,3095,15480,5,3096,2960,13,High-Performer,142,5,1190
Mountain-200 Silver- 38,Bikes,Mountain Bikes,1266,596,1339394,2247.3,596,583,23,High-Performer,143,2247,58234
Touring-3000 Yellow- 50,Bikes,Touring Bikes,461,59,43778,742,59,59,11,High-Performer,143,742,3979
Road-250 Red- 58,Bikes,Road Bikes,1555,306,702666,2296.3,306,301,24,High-Performer,143,2296,29277
Road-350-W Yellow- 48,Bikes,Road Bikes,1083,232,394632,1701,232,232,12,High-Performer,143,1701,32886
Mountain-500 Black- 44,Bikes,Mountain Bikes,295,58,31320,540,58,58,11,High-Performer,143,540,2847
Mountain-500 Silver- 52,Bikes,Mountain Bikes,308,48,27120,565,48,48,11,High-Performer,143,565,2465
Mountain Bottle Cage,Accessories,Bottles and Cages,4,2025,20340,10,2034,2004,13,High-Performer,142,10,1564
Mountain-200 Silver- 46,Bikes,Mountain Bikes,1266,580,1301029,2243.2,580,567,23,High-Performer,143,2243,56566
Road-750 Black- 48,Bikes,Road Bikes,344,363,196020,540,363,363,12,High-Performer,143,540,16335
Road-650 Black- 62,Bikes,Road Bikes,487,65,49047,754.6,65,65,24,High-Performer,155,754,2043
ML Mountain Tire,Accessories,Tires and Tubes,11,1161,34830,30,1161,1161,13,High-Performer,142,30,2679
Mountain-200 Black- 42,Bikes,Mountain Bikes,1252,614,1363128,2220.1,614,604,23,High-Performer,143,2220,59266
Touring-3000 Blue- 58,Bikes,Touring Bikes,461,57,42294,742,57,57,11,High-Performer,143,742,3844
Road-550-W Yellow- 44,Bikes,Road Bikes,713,287,312200,1087.8,287,286,23,High-Performer,143,1087,13573
